DATE,ConsumedQuantity
2019-01-02,10.0
2019-01-03,23.866684
2019-01-04,24.0
2019-01-05,24.0
2019-01-06,24.0
2019-01-07,24.0
2019-01-08,24.0
2019-01-09,24.0
2019-01-10,24.0
2019-01-11,24.0
2019-01-12,24.0
2019-01-13,24.0
2019-01-14,24.0
2019-01-15,24.0
2019-01-16,24.0
2019-01-17,24.0
2019-01-18,24.0
2019-01-19,24.0
2019-01-20,24.0
2019-01-21,24.0
2019-01-22,24.0
2019-01-23,24.0
2019-01-24,23.983353
2019-01-25,25.816683
2019-01-26,24.0
2019-01-27,37.716681
2019-01-28,47.950059
2019-01-29,47.950059
2019-01-30,48.0
2019-01-31,47.950059
2019-02-01,47.950059
2019-02-02,47.933412
2019-02-03,48.0
2019-02-04,48.0
2019-02-05,48.0
2019-02-06,48.0
2019-02-07,48.0
2019-02-08,48.0
2019-02-09,48.0
2019-02-10,47.0
2019-02-11,48.0
2019-02-12,48.0
2019-02-13,48.0
2019-02-14,47.966686
2019-02-15,47.950039
2019-02-16,48.0
2019-02-17,48.0
2019-02-18,84.416675
2019-02-19,95.933412
2019-02-20,96.0
2019-02-21,96.0
2019-02-22,96.0
2019-02-23,95.950039
2019-02-24,95.966706
2019-02-25,96.0
2019-02-26,96.0
2019-02-27,77.650013
2019-02-28,72.0
2019-03-01,72.0
2019-03-02,61.283339
2019-03-03,48.0
2019-03-04,48.0
2019-03-05,48.0
2019-03-06,47.966686
2019-03-07,48.0
2019-03-08,48.0
2019-03-09,47.983353
2019-03-10,47.983353
2019-03-11,48.0
2019-03-12,48.0
2019-03-13,47.983353
2019-03-14,48.0
2019-03-15,48.0
2019-03-16,48.0
2019-03-17,48.0
2019-03-18,48.0
2019-03-19,48.0
2019-03-20,48.0
2019-03-21,48.0
2019-03-22,48.0
2019-03-23,47.983353
2019-03-24,48.0
2019-03-25,48.0
2019-03-26,48.0
2019-03-27,48.0
2019-03-28,48.0
2019-03-29,48.0
2019-03-30,48.0
2019-03-31,48.0
2019-04-01,48.0
2019-04-02,48.0
2019-04-03,48.0
2019-04-04,48.0
2019-04-05,48.0
2019-04-06,48.0
2019-04-07,47.983353
2019-04-08,47.950059
2019-04-09,48.0
2019-04-10,66.20021
2019-04-11,101.733448
2019-04-12,117.983353
2019-04-13,120.0
2019-04-14,120.0
2019-04-15,120.0
2019-04-16,116.983353
2019-04-17,120.0
2019-04-18,119.966686
2019-04-19,119.816843
2019-04-20,99.083355
2019-04-21,95.950039
2019-04-22,96.0
2019-04-23,96.0
2019-04-24,92.0
2019-04-25,93.0
2019-04-26,92.866824
2019-04-27,96.0
2019-04-28,96.0
2019-04-29,96.0
2019-04-30,96.0
2019-05-01,96.0
2019-05-02,91.0
2019-05-03,93.0
2019-05-04,96.0
2019-05-05,96.0
2019-05-06,95.0
2019-05-07,94.950019
2019-05-08,96.0
2019-05-09,95.0
2019-05-10,96.0
2019-05-11,96.0
2019-05-12,93.0
2019-05-13,96.0
2019-05-14,95.983353
2019-05-15,95.866824
2019-05-16,95.983353
2019-05-17,96.0
2019-05-18,96.0
2019-05-19,96.0
2019-05-20,96.0
2019-05-21,95.983353
2019-05-22,95.983353
2019-05-23,95.983353
2019-05-24,96.0
2019-05-25,95.983353
2019-05-26,95.983353
2019-05-27,93.0
2019-05-28,96.0
2019-05-29,63.966686
2019-05-30,47.933372
2019-05-31,47.833506
2019-06-01,92.466676
2019-06-02,96.0
2019-06-03,95.700166
2019-06-04,95.98335
2019-06-05,96.0
2019-06-06,96.0
2019-06-07,96.0
2019-06-08,96.0
2019-06-09,96.0
2019-06-10,95.983353
2019-06-11,96.0
2019-06-12,96.0
2019-06-13,96.0
2019-06-14,96.0
2019-06-15,96.0
2019-06-16,96.0
2019-06-17,95.466696
2019-06-18,96.0
2019-06-19,96.0
2019-06-20,96.0
2019-06-21,95.766892
2019-06-22,96.0
2019-06-23,93.950033
2019-06-24,96.0
2019-06-25,96.0
2019-06-26,56.0
2019-06-27,0.0
2019-06-28,0.0
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,0.0
2019-07-02,67.06734
2019-07-03,95.66681
2019-07-04,115.266712
2019-07-05,119.4668
2019-07-06,119.80007
2019-07-07,114.750066
2019-07-08,119.983353
2019-07-09,119.93341
2019-07-10,119.98335
2019-07-11,119.7835
2019-07-12,116.88344899999998
2019-07-13,119.40029
2019-07-14,119.733466
2019-07-15,119.60022
2019-07-16,120.0
2019-07-17,119.60014
2019-07-18,119.40061
2019-07-19,118.91712
2019-07-20,109.86674
2019-07-21,120.0
2019-07-22,119.66681
2019-07-23,116.0
2019-07-24,120.0
2019-07-25,119.98335
2019-07-26,120.0
2019-07-27,119.86674
2019-07-28,119.66681
2019-07-29,119.46689
2019-07-30,119.7334
2019-07-31,120.0
2019-08-01,120.0
2019-08-02,118.7334
2019-08-03,115.0
2019-08-04,119.716753
2019-08-05,117.0
2019-08-06,115.80007
2019-08-07,119.86674
2019-08-08,119.7334
2019-08-09,119.98335
2019-08-10,117.800171
2019-08-11,115.783583
2019-08-12,112.60019
2019-08-13,119.850093
2019-08-14,119.80023
2019-08-15,119.86682
2019-08-16,117.833426
2019-08-17,120.0
2019-08-18,120.0
2019-08-19,120.0
2019-08-20,119.983353
2019-08-21,119.93341
2019-08-22,97.950033
2019-08-23,95.86682
2019-08-24,96.0
2019-08-25,96.0
2019-08-26,96.0
2019-08-27,96.0
2019-08-28,102.750024
2019-08-29,119.86682
2019-08-30,120.0
2019-08-31,115.60007
2019-09-01,120.0
2019-09-02,120.0
2019-09-03,118.93347
2019-09-04,120.0
2019-09-05,120.0
2019-09-06,119.60015
2019-09-07,119.9667
2019-09-08,120.0
2019-09-09,116.93341
2019-09-10,110.86682
2019-09-11,119.900116
2019-09-12,120.0
2019-09-13,119.417026
2019-09-14,118.833496
