productTitle, serviceType, productId, effectiveDate, skuId, skuTitle, region, skuName, duration, meterId, AUD, AUD-FJ, BRL, CAD, CHF, CNY, DKK, EUR, GBP, INR, JPY, KRW, NOK, NZD, RUB, SEK, TWD, USD
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,8,Red Hat Enterprise Linux - 1-4 vCPU VM,,RHEL_1-4_vCPU,1Year,077a07bb-20f8-4bc6-b596-ab7211a1e247,577,577,NA,538,413,2878,2643,354,313,27760,47040,472353,3408,635,26250,3670,12623,420
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,8,Red Hat Enterprise Linux - 1-4 vCPU VM,,RHEL_1-4_vCPU,1Year,2f96d035-3bac-46d6-b2bc-c6daa0938536,577,577,NA,538,413,2878,2643,354,313,27760,47040,472353,3408,635,26250,3670,12623,420
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,8,Red Hat Enterprise Linux - 1-4 vCPU VM,,RHEL_1-4_vCPU,1Year,4831a7b4-bdd4-48a2-8e95-18d053971ede,577,577,NA,538,413,2878,2643,354,313,27760,47040,472353,3408,635,26250,3670,12623,420
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,8b698c7a-47f1-4cba-8ae1-9853d5ad562d,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,b9edcc5b-a429-4778-bc5a-82e7fa07fe55,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,037eddc0-fedd-4d73-b5d8-92fba9edb831,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,99aed7b9-a0a9-4783-b90c-be7c2f3c7e30,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,291b2cbc-6c34-4e2b-a4e4-1ff8c106f672,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,6f44ae85-a70e-44be-83ec-153a0bc23979,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,3b6661c4-03dd-45e7-88c9-512fcb7906d5,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
Red Hat Enterprise Linux,Virtual Machines Licenses,DZH318Z0BJRD,2/1/2019 0:00,000D,Red Hat Enterprise Linux - 5+ vCPU VM,,RHEL_5plus_vCPU,1Year,794dcb90-0793-43e6-9909-70d29974e56d,1251,1251,NA,1166,897,6242,5733,768,679,60214,102032,1024556,7392,1377,56938,7959,27379,911
